Accuracy,loss,,,,,,Accuracy,loss,,,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.706806302,0.00519758,,,,,,0.6484375,0.007403823,,,,,,,0.56078434,0.008109213,,,,,0.611764729,0.00778388,,,
0.729411781,0.005096829,,,,,,0.650000036,0.007511355,,,,,,,0.551724136,0.008435174,,,,,0.630094051,0.007463995,,,
0.686520338,0.005553268,,,,,,0.65625,0.007425298,,,,,,,0.574412525,0.008161078,,,,,0.61618799,0.007594893,,,
0.691906035,0.005568562,,,,,,0.644295335,0.007570003,,,,,,,0.574944079,0.007996691,,,,,0.630872488,0.00733613,,,
0.686800897,0.005659278,,,,,,0.647749484,0.00745812,,,,,,,0.589041114,0.007783924,,,,,0.647749484,0.007260296,,,
0.679060638,0.00570172,,,,,,0.636521757,0.007579197,,,,,,,0.59826088,0.007734887,,,,,0.64173913,0.00724976,,,
0.674782634,0.005729383,,,,,,0.64475745,0.007516862,,,,,,,0.597809076,0.007757387,,,,,0.633802831,0.007349752,,,
0.674491405,0.005635197,,,,,,0.640113771,0.007465503,,,,,,,0.591749668,0.007829739,,,,,0.644381225,0.007208057,,,
0.677098155,0.005686511,,,,,,0.634941339,0.00754231,,,,,,,0.590612769,0.007761768,,,,,0.640156448,0.007294608,,,
0.683181226,0.005576435,,,,,,0.734375,0.00591722,,,,,,,0.640625,0.006663197,,,,,0.6875,0.006589856,,,
0.734375,0.004501808,,,,,,0.6875,0.006542847,,,,,,,0.6328125,0.007317566,,,,,0.661417305,0.006480958,,,
0.765625,0.004369925,,,,,,0.661458373,0.006519256,,,,,,,0.575916231,0.008028308,,,,,0.649214685,0.006766331,,,
0.732984304,0.00463962,,,,,,0.64453125,0.006763502,,,,,,,0.607843161,0.00764294,,,,,0.639215708,0.007237382,,,
0.756862819,0.004550014,,,,,,0.643750012,0.006857788,,,,,,,0.598746061,0.007976567,,,,,0.652037621,0.006912911,,,
